시설명,주소,경도,위도
용전경로당 ,경상남도 창원시 의창구 동읍 용남길 85 ,128.656521895,35.276769908
용정1구 경로당 ,경상남도 창원시 의창구 동읍 자여로 100 ,128.703194298,35.274987427
용정2구 경로당 ,경상남도 창원시 의창구 동읍 용정길 46번길 49-1 ,128.705502855,35.274780871
용정3구경로당 ,경상남도 창원시 의창구 용정길46번길 42-10 ,128.704433139,35.275303389
원봉강 경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 1187번길 12 ,128.653801555,35.355595814
원창아파트 경로당 ,경상남도 창원시 의창구 동읍 의창대로858 (원창호수아파트) ,,
월잠 경로당 ,경상남도 창원시 의창구 동읍 주남로 61번길 1 ,128.674055295,35.303430779
이운 경로당 ,경상남도 창원시 의창구 동읍 백월로 549 ,128.655671995,35.304696572
전촌 경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 1223번길 36-17 ,128.652343314,35.358663102
죽동 경로당 ,경상남도 창원시 의창구 동읍 봉강가술로 237번길 8 ,128.680670020,35.352646006
칠성그린APT 경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 218(칠성그린아파트) ,128.675257710,35.294336233
판신경로당 ,경상남도 창원시 의창구 동읍 주남로 184번길 5 ,128.687195652,35.307569172
합산 경로당 ,경상남도 창원시 의창구 동읍 죽동길 25번길 66 ,128.676029672,35.336589342
화목 경로당 ,경상남도 창원시 의창구 동읍 화양길 72,128.649746320,35.301195974
STX칸1차아파트경로당,경상남도 창원시 의창구 북면 무동서로 76,128.580212461,35.321606767
갈전경로당,경상남도 창원시 의창구 북면 구룡로380번길 47-1,128.621548027,35.306579763
감계아내1차아파트경로당,경상남도 창원시 의창구 북면 감계로 277,128.592454445,35.302637524
감계아내2차아파트경로당,경상남도 창원시 의창구 북면 감계로 342,128.596501386,35.300276702
감계푸르지오아파트경로당,경상남도 창원시 의창구 북면 감계로 221,128.585172341,35.299934765
감계휴먼빌경로당,경상남도 창원시 의창구 북면 감계로 297,128.593450158,35.302812030
감계힐스테이트1차아파트경로당,경상남도 창원시 의창구 북면 동전로 86 ,128.597773786,35.303604282
감계힐스테이트2차아파트경로당,경상남도 창원시 의창구 북면 감계로 341,128.598373072,35.302693045
감계힐스테이트3차아파트경로당,경상남도 창원시 의창구 북면 감계로 259,128.589609878,35.302558542
감계힐스테이트4차아파트경로당,경상남도 창원시 의창구 북면 감계로 233,128.584269467,35.299975495
고암경로당,경상남도 창원시 의창구 북면 고암길 26,128.629939743,35.295234473
남백경로당,경상남도 창원시 의창구 북면 백월로277번길 10,128.637285000,35.318638550
내감경로당,경상남도 창원시 의창구 북면 내감1길 20,128.590807244,35.301061682
내감부인경로당,경상남도 창원시 의창구 북면 내감1길 20,128.590807244,35.301061682
내산경로당,경상남도 창원시 의창구 북면 외산로157번길 5-4,128.590079145,35.376115365
